symbol,bb_period,bb_std,adx_ceil,rsi_floor,rsi_ceil,tp,sl,max_hold,bb_exit_mid,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,15,20,40,0.02,0.015,24,False,-31.973318830591822,52,False,-24.554555909315884,0.4090909090909091,22,-0.0852756676821356,-0.0038835161904158468,-39.392081751867764,0.3333333333333333,30,-0.16694019641344987,-0.005190172857373576
KRW-BTC,20,2.0,15,20,40,0.025,0.008,12,True,-49.895591506014966,55,False,-30.880903071925957,0.43478260869565216,23,-0.06090335372806931,-0.0027667321875071245,-68.91027994010398,0.3125,32,-0.1434561212317906,-0.004448551956464313
KRW-BTC,20,2.0,15,20,40,0.025,0.008,12,False,-22.19834127616665,55,False,-8.444217475004685,0.34782608695652173,23,-0.06217307227229574,-0.0011070535379581136,-35.95246507732862,0.28125,32,-0.1132886736505784,-0.003175911099726481
KRW-BTC,20,2.0,15,20,40,0.025,0.008,24,True,-46.74416095641098,55,False,-31.593134233587545,0.43478260869565216,23,-0.06090335372806931,-0.002815108041724737,-61.89518767923442,0.34375,32,-0.13911689117569495,-0.004288556029113349
KRW-BTC,20,2.0,15,20,40,0.025,0.008,24,False,-36.63933064615153,54,False,-1.9383333926054216,0.34782608695652173,23,-0.060688570496136476,-0.00028265010850676066,-71.34032789969764,0.1935483870967742,31,-0.17578066985484733,-0.0057123829237544456
KRW-BTC,20,2.0,15,20,40,0.025,0.01,12,True,-56.74411466537525,55,False,-39.208455780366926,0.43478260869565216,23,-0.08045526991340086,-0.003895471317941926,-74.27977355038358,0.3125,32,-0.17234470599538818,-0.005509458206464316
KRW-BTC,20,2.0,15,20,40,0.025,0.01,12,False,-30.087335105988345,55,False,-16.580791318754667,0.34782608695652173,23,-0.07719300476659925,-0.0023226187553494334,-43.593878893222026,0.28125,32,-0.14319471343096363,-0.004236817349726484
KRW-BTC,20,2.0,15,20,40,0.025,0.01,24,True,-54.383998333655725,55,False,-39.89751523301501,0.43478260869565216,23,-0.08147262772798813,-0.003943847172159538,-68.87048143429644,0.34375,32,-0.17150267002975964,-0.005474274779113355
KRW-BTC,20,2.0,15,20,40,0.025,0.01,24,False,-39.68024597159067,54,False,-10.209238191332641,0.34782608695652173,23,-0.07759572127766262,-0.0015850414128546003,-69.1512537518487,0.22580645161290322,31,-0.18827398801033007,-0.006195029104790392
KRW-BTC,20,2.0,15,20,40,0.025,0.015,12,True,-56.315161472995484,53,False,-49.55714932277575,0.45454545454545453,22,-0.10671239723967965,-0.005806991600105391,-63.073173623215226,0.3870967741935484,31,-0.18171193136036604,-0.006036252014844286
KRW-BTC,20,2.0,15,20,40,0.025,0.015,12,False,-29.63116681170341,53,False,-28.31230843042029,0.36363636363636365,22,-0.09781572249650215,-0.00444604319798415,-30.950025192986523,0.3548387096774194,31,-0.13411028062299818,-0.0038895627576216968
KRW-BTC,20,2.0,15,20,40,0.025,0.015,24,True,-49.75782129625295,53,False,-47.152689924735284,0.5,22,-0.1041566167660231,-0.005674550865224378,-52.362952667770614,0.4838709677419355,31,-0.1802256025410499,-0.005471447392689296
KRW-BTC,20,2.0,15,20,40,0.025,0.015,24,False,-29.790528707412392,52,False,-15.5363060532465,0.4090909090909091,22,-0.0762858019593849,-0.0027488570995067817,-44.044751361578285,0.3333333333333333,30,-0.17028000561719062,-0.005616717616615727
KRW-BTC,20,2.0,15,20,40,0.03,0.008,12,True,-49.895591506014966,55,False,-30.880903071925957,0.43478260869565216,23,-0.06090335372806931,-0.0027667321875071245,-68.91027994010398,0.3125,32,-0.1434561212317906,-0.004448551956464313
KRW-BTC,20,2.0,15,20,40,0.03,0.008,12,False,-25.04283145948265,55,False,-14.133197841636683,0.34782608695652173,23,-0.06217307227229574,-0.0017226335200472263,-35.95246507732862,0.28125,32,-0.1132886736505784,-0.003175911099726481
KRW-BTC,20,2.0,15,20,40,0.03,0.008,24,True,-46.74416095641098,55,False,-31.593134233587545,0.43478260869565216,23,-0.06090335372806931,-0.002815108041724737,-61.89518767923442,0.34375,32,-0.13911689117569495,-0.004288556029113349
KRW-BTC,20,2.0,15,20,40,0.03,0.008,24,False,-54.09226546094887,54,False,-7.12797412396164,0.34782608695652173,23,-0.05610656352294684,-0.0010140272237575555,-101.05655679793611,0.1935483870967742,31,-0.18917488271810567,-0.006248901349528495
KRW-BTC,20,2.0,15,20,40,0.03,0.01,12,True,-56.74411466537525,55,False,-39.208455780366926,0.43478260869565216,23,-0.08045526991340086,-0.003895471317941926,-74.27977355038358,0.3125,32,-0.17234470599538818,-0.005509458206464316
