symbol,bb_period,bb_std,vol_mult,max_hold,bb_exit_mid,adx_ceil,rsi_floor,rsi_ceil,tp,sl,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.03,0.015,-14.525390020508114,30,False,3.647369269783742,0.42857142857142855,7,-0.016477500000000152,0.002008304599716307,-32.69814931079997,0.17391304347826086,23,-0.23683567151280357,-0.010553056981685826
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.03,0.02,-15.059219051063874,30,False,-1.3755311972587927,0.42857142857142855,7,-0.021470000000000017,-0.0008445525431408041,-28.742906904868956,0.2608695652173913,23,-0.25561942721933784,-0.011376620610293186
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.04,0.01,-13.766875603843326,31,False,0.008167853318620563,0.25,8,-0.045154610977047836,4.200785265712041e-06,-27.541919061005274,0.13043478260869565,23,-0.18008127870492172,-0.0074855939786581125
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.04,0.015,-13.290048146682352,30,False,6.118053017435266,0.42857142857142855,7,-0.016477500000000166,0.0037273912114484794,-32.69814931079997,0.17391304347826086,23,-0.23683567151280357,-0.010553056981685826
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.04,0.02,-13.720670380041476,30,False,1.301566144786004,0.42857142857142855,7,-0.021470000000000013,0.0008745340685913679,-28.742906904868956,0.2608695652173913,23,-0.25561942721933784,-0.011376620610293186
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.05,0.01,-12.689405152759477,31,False,2.16310875548632,0.25,8,-0.04515461097704764,0.0012523257852657265,-27.541919061005274,0.13043478260869565,23,-0.18008127870492172,-0.0074855939786581125
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.05,0.015,-12.485035168931528,30,False,7.7280789729369115,0.42857142857142855,7,-0.01647750000000004,0.005153819782877066,-32.69814931079997,0.17391304347826086,23,-0.23683567151280357,-0.010553056981685826
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.05,0.02,-12.791763984542351,30,False,3.159378935784255,0.42857142857142855,7,-0.021470000000000013,0.002300962640019955,-28.742906904868956,0.2608695652173913,23,-0.25561942721933784,-0.011376620610293186
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.02,0.01,-20.89467443461187,35,False,-7.077440817596538,0.3,10,-0.05612101026997641,-0.0024984999999999513,-34.7119080516272,0.16,25,-0.16842651590972335,-0.0077710946911329825
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.02,0.015,-17.496062688900928,34,False,3.5907528958052577,0.5555555555555556,9,-0.01647750000000015,0.0015276342090948735,-38.582878273607115,0.2,25,-0.22598764598141197,-0.010792860653918483
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.02,0.02,-17.112292515330044,34,False,-1.4171972865028553,0.5555555555555556,9,-0.024793626952176812,-0.0006912546797939907,-32.80738774415723,0.28,25,-0.24503840402790616,-0.01175023919223726
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.03,0.01,-17.55344519915005,35,False,-2.8544931484798974,0.3,10,-0.0561210102699763,-0.0011974683483437485,-32.252397249820206,0.16,25,-0.16530729435101602,-0.0076182839706530146
KRW-BTC,20,2.0,1.2,18,True,20,25,45,0.03,0.015,-14.75782741596589,34,False,7.07954531256598,0.5555555555555556,9,-0.016477500000000152,0.003483017399603319,-36.59520014449776,0.2,25,-0.22308433548925272,-0.010640049933438518
